Que es?;||;What is it?
Lo es | Lo est?;||;It is
Y qu??;||;So what?
Lo se | Ya se | Yo s?;||;I know
No se;||;I don't know
Para qu??;||;For what?
Si, si;||;Yes, yes
Que s?;||;Yes
Qu? bien | Qu? bueno;||;Good
Bien, bien;||;Good, good
S?, bien;||;Yes, good
Eso es | Es eso | Ya est?;||;That's it
Por eso;||;That's why
S?, eso;||;Yes, that
Eso no;||;Not that
Yo no;||;Not me
Yo s?;||;I do
Y yo;||;And me
Como yo;||;Like me
Por aqu?;||;Over here
Aqu? est? | Aqu? es;||;Here it is
Est? aqu? | Es aqu?;||;It's here
Aqu? no | No aqu?;||;Not here
Y aqu?;||;And here
Una m?s;||;One more
Y esto;||;And this
Es todo;||;It's all
Todo bien;||;All good
De todo;||;Everything
Por todo;||;For everything
No todo;||;Not everything
Ya no;||;Not anymore
Ya, ya;||;Now, now
S?, ya;||;Yes, already
Estoy bien;||;I'm fine
Estoy aqu?;||;I'm here
Lo estoy | Lo soy;||;I am
Muy bien | Muy bueno;||;Very good
Ahora no | No ahora;||;Not now
Ahora s?;||;Now yes
Por ahora;||;For now
S?, ahora;||;Yes, now
Aqu? vamos;||;Here we go
S?, vamos;||;Yes, let's go
Ya vamos;||;Let's go
Ahora, vamos;||;Now let's go
Vamos, ahora;||;Come on, now
As? es;||;That's right
Algo as?;||;Something like that
Es as?;||;It is so
As? no;||;Not like that
Es bueno | Est? bueno;||;It's good
Bueno, s?;||;Well, yes
Bueno, bueno | Bueno, bien;||;Well, well
S?, bueno;||;Yes, well
Bueno, vamos;||;Well, let's go
Hay m?s;||;There are more
Lo tengo;||;Got it
Te tengo;||;I have you
La tengo;||;I have it
Tengo algo;||;I have something
Los tengo;||;I have them
Es ?l;||;It's him
Est?s bien;||;You're fine
Aqu? est?s | Aqu? tiene;||;Here you are
Est?s aqu?;||;You are here
T? no;||;You don't
Como t?;||;Like you
S?, t?;||;Yes, you
Y t?;||;And you
De nada;||;You're welcome
Para nada;||;Not at all
Nada m?s;||;Nothing more
Por nada;||;For nothing
Nada bueno;||;Not good
En nada;||;Nothing
C?mo no;||;Of course
C?mo est?s?;||;How are you?
C?mo est??;||;How is he?
O no;||;Or not
No puedo;||;I can't
Yo puedo;||;I can
S? puedo;||;Yes I can
Te quiero;||;I love you
No quiero;||;I don't want to
Lo quiero;||;I want it
S?, quiero;||;Yes, I do
La quiero;||;I love her
Es ella;||;It's her
As? fue;||;So it was
Lo fue | Lo era;||;It was
Fue ?l;||;It was him
S?, gracias;||;Yes, thank you
Bien, gracias | Bueno, gracias;||;Well, thank you
Gracias, gracias;||;Thank you, thank you
Pero gracias;||;But thank you
Y gracias;||;And thank you
Una vez;||;Once
S?lo una;||;Only one
S?lo eso;||;Just that
S?lo yo;||;Just me
Soy yo;||;It's me
A todos;||;To all
No todos;||;Not all
Como todos;||;Like everyone
Porque s?;||;Because yes
Aqu? tienes;||;Here you go
Lo tienes;||;You have it
Eso creo;||;I think so
No creo;||;I don't think so
Te creo | Le creo;||;I believe you
Lo creo;||;I believe it
Lo sabes | Ya sabes | T? sabes;||;You know
Sabes qu??;||;You know what?
Lo estaba;||;I was
Me voy;||;I'm leaving
Yo voy | Voy yo;||;I'm going
Ahora voy;||;Now I'm going
Aqu? voy | Ah? voy;||;Here I go
Eres t? | Es usted;||;It's you
Eres bueno;||;You are good
Lo eres;||;You are
Puede ser;||;It can be
Ese es;||;That's it
Para usted | Para ti | Por ti;||;For you
Bien, entonces;||;Well then
Hola, hola;||;Hello, hello
S?, hola;||;Yes, hello
A casa;||;Home
En casa;||;At home
Es verdad;||;It's true
De verdad;||;Really
La verdad;||;The truth
En verdad;||;Indeed
Qui?n es?;||;Who is it?
Qui?n eres?;||;Who are you?
Los dos;||;Both of them
Oh, s?;||;Oh yeah
Oh, gracias;||;Oh, thank you
Oh, vamos;||;Oh come on
Oh, bien;||;Oh good
Oh, hola;||;Oh hi
Oh, bueno;||;Oh well
D?nde est??;||;Where is he?
Qu? va;||;What's up
Aqu? va;||;Here it goes
Por favor;||;Please
Si quieres;||;If you want
Qu? quieres?;||;What do you want?
Gracias, se?or;||;Thank you, sir
Bien, se?or;||;Good sir
Hola, se?or;||;Hello sir
Mi se?or;||;My lord
Lo siento;||;Sorry
No mucho;||;Not much
S?, mucho;||;Yes, a lot
Mucho tiempo;||;A long time
Mucho m?s;||;Much more
A m?;||;Me
Para m? | Por m?;||;For me
Mucho mejor;||;Much better
El mejor;||;The best
Mejor no;||;Better not
Es mejor;||;It is better
T? tambi?n | Usted tambi?n;||;You too
Oh, Dios;||;Oh my
Por Dios;||;By God
Mi Dios;||;My God
Lo tenemos | La tenemos;||;We have it
Tenemos tiempo;||;We have time
Aqu? est?n;||;Here they are
