Я работаю | I work
Мы работаем | We work
Ты работаешь | You work
Они работают | They work
Я работаю здесь | I work here
Я учусь | I study
Я понимаю | I understand
Я понимаю тебя | I understand you
Я знаю это | I know it
Я знаю это очень хорошо | I know it very well
Я живу в России | I live in Russia
Я говорю по английски | I speak English
Я хожу в школу | I go to school
Я хожу на работу | I go to work
У меня есть брат | I have a brother
У меня есть идея | I have an idea
У меня есть сестра | I have a sister
У меня есть машина | I have a car
Я так думаю | I think so
Я вижу это | I see it
Я хочу это | I want it
Я помню это | I remember it
Я помню это очень хорошо | I remember it very well
Мы понимаем тебя | We understand you
Мы говорим по-английски | We speak English
Ты знаешь это | You know it
Они помогают мне | They help me
Они ходят на работу | They go to work
Мы помним это | We remember it
Ты говоришь по английски очень хорошо | You speak English very well
Мы живём здесь | We live here
Я живу в этом городе | I live in this city
Мы живём в этой стране | We live in this country
Мы говорим по английски | We speak English
Я очень хорошо знаю это | I know it very well
Ты помогаешь мне | You help me
Я очень хорошо понимаю тебя | I understand you very well
Я работаю там | I work there
У меня идея | I have an idea
Они ходят в школу | They go to school
Я учусь здесь | I study here
Мы думаем так | We think so
Я учусь там | I study there
Я живу в этой стране | I live in this country
Мы живем в России | We live in Russia
Ты видишь это | You see it
Я иду в школу | I go to school
Мы живем в этой стране | We live in this country
Кошка сидит на столе | A cat sits on the table | The cat sits on the table
